"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu049"	"Otu049"	114	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Peptostreptococcaceae_unclassified"	0	0.0173115208171038	0.0664805212072863	0	0	0.173899296498301	0.0966728429871909	0	0	0.594753136711748	0.016646057262437	0.240492672840061	0.143594911197884
"Otu050"	"Otu050"	112	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.172811059907834	0.0173115208171038	0.119664938173115	0.17807370703004	0.0480422772039395	0.110663188680737	0.0966728429871909	0.069710700592541	0.163360560093349	0.293302916734561	0.0974983353942738	0.159579250202284	0.129739261871772
"Otu051"	"Otu051"	109	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0	0.077901843676967	0.0132961042414573	0	0	0.0395225673859774	0.00805607024893257	0.0348553502962705	0	0.741404595079029	0.0237800818034814	0.220264317180617	0.13477767980854
"Otu052"	"Otu052"	108	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	0.460829493087558	0.190426728988142	0.970615609626379	0	0	0	0	0	0	0.0407365162131335	0.244934842575858	0.011237975366358	0.136037284292732
"Otu053"	"Otu053"	108	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	0.172811059907834	0.276984333073661	0.53184416965829	0.00774233508826262	0.0240211386019697	0	0	0	0	0.244419097278801	0.185484638067155	0.067427852198148	0.136037284292732
"Otu054"	"Otu054"	107	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Ruminococcus2"	0.0576036866359447	0.129836406128278	0.0265922084829145	0.0464540105295757	0.0120105693009849	0.00790451347719548	0.00805607024893257	0	0	0.651784259410135	0.0594502045087035	0.184302796008271	0.13477767980854
"Otu055"	"Otu055"	106	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	0	0.0605903228598632	0.0398883127243718	0.0232270052647879	0.132116262310834	0.0632361078175638	0.0805607024893257	0	0.560093348891482	0.325892129705068	0.0570721963283554	0.184302796008271	0.103287567703741
"Otu056"	"Otu056"	104	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0.288018433179724	0.0865576040855189	0.0132961042414573	0	0.0120105693009849	0.00790451347719548	0	1.63820146392471	0.0233372228704784	0.309597523219814	0.0404261390659184	0.195540771374629	0.07053785111475
"Otu057"	"Otu057"	104	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"	0	0.0432788020427595	0.0265922084829145	0.0774233508826262	0.0360317079029546	0.33198956604221	0.161121404978651	0	0.280046674445741	0.0814730324262669	0.0475601636069628	0.188797986154814	0.115883612545661
"Otu058"	"Otu058"	104	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Mitsuokella"	0	0.00865576040855189	0.0398883127243718	0	0	0	0.0886167727382583	0.104566050888811	0.0700116686114352	0.676226169138015	0.00951203272139256	0.22475950732716	0.123441239450812
