"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu069"	"Otu069"	294	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVb"	0.0221219361118485	0.0250125062531266	0.641025641025641	0.221461646869338	0.421525923844316	0.154559505409583	0.0650829808005207	0.113579573849439	0.489961759082218	0.222482634466127	0.255968651740429	0.239829745436687
"Otu070"	"Otu070"	294	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"	0.0044243872223697	0.0375187593796898	0.267094017094017	0.946245218441715	0.814950119432345	0.515198351365276	0	0	0.346558317399618	0.315891374127477	0.169065714421147	0.239829745436687
"Otu071"	"Otu071"	290	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	0	0.83791895947974	0.089031339031339	1.01671028790014	1.16622172263594	0.0257599175682638	0.178978197201432	0	0.0199171446781389	0.443266928211138	0.0442414953625433	0.236555619219121
"Otu072"	"Otu072"	277	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	0.0044243872223697	0	0.0979344729344729	1.7213609824844	0.112406913025151	0	0.105759843800846	0	0.290790312300829	0.324383077733055	0.13588459289924	0.226733240566424
"Otu073"	"Otu073"	277	"Bacteria"	"Bacteroidetes"	"Bacteroidetes_unclassified"	"Bacteroidetes_unclassified"	"Bacteroidetes_unclassified"	"Bacteroidetes_unclassified"	0.0044243872223697	0.83791895947974	0.436253561253561	0.734850010066438	0.266966418434734	0.0257599175682638	0.0732183534005857	0	0.231038878266412	0.354953210713133	0.107443631594748	0.226733240566424
"Otu074"	"Otu074"	276	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Clostridiales_unclassified"	0.0132731616671091	0	0.0801282051282051	0.0100664384940608	0	2.73055126223596	1.08200455580866	0	0.0916188655194391	0.0220784293745011	0.41397399232094	0.225096177457641
"Otu075"	"Otu075"	271	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Butyricimonas"	0	0.262631315657829	0.329415954415954	1.44956714314476	0.716594070535338	0	0.0244061178001952	0	0.0597514340344168	0.429680202442214	0.0284409613044921	0.221822051240075
"Otu076"	"Otu076"	271	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.0398194850013273	0.0500250125062531	0.0801282051282051	0.100664384940608	0.168610369537727	0	0	0.98587070101313	0.0398342893562779	0.0747269917290807	0.358672123117761	0.221822051240075
"Otu077"	"Otu077"	237	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.0044243872223697	0.0125062531265633	0.0089031339031339	0.362391785786189	2.7539693691162	0	0	0	0.00796685787125558	0.399110069462136	0.00316010681161023	0.193991978390767
"Otu078"	"Otu078"	225	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"	0	0.250125062531266	0.0712250712250712	0.181195892893094	0.323169874947309	0.360638845955693	0.260331923202083	0.377084185180137	0.10755258126195	0.117185509756967	0.246488331305598	0.18416959973807
